BEATLES.Yesterday 2 k.MID;3
Beatles_Aint_She_Sweet.mid;4
Beatles_Baby_Its_You.mid;1,3
Beatles_Cant_Buy_Me_Love.mid;1
Beatles_Come_Together.mid;2
Beatles_Eleanor_Rigby.mid;3
Beatles_From_Me_To_You.mid;3
Beatles_I_Feel_Fine.mid;1
Beatles_I_Want_To_Hold_Your_Hand.mid;4
Beatles_Lady_Madonna.mid;3
Beatles_Let_It_Be.mid;3
Beatles_Love_Me_Do - Kopie.mid;2
Beatles_Love_Me_Do.mid;0,1
Beatles_Penny_Lane.mid;1
Beatles_Please_Please_Me.mid;3
Beatles_Sgt_Pepper.mid;3
Beatles_She_Loves_You.mid;0,1
Beatles_Something.mid;3,4
Beatles_We_Can_Work_It_Out.mid;0,1
Beatles_With_A_Little_Help_From_My_Friends.mid;3
Beatles_Yellow_Submarine.mid;1
Beatles_Yesterday.mid;0
THEBEATLES.Day tripper K.mid;3
THEBEATLES.Free as a bird K.mid;2
THEBEATLES.Hello Goodbye K.MID;3
THEBEATLES.Help K.mid;4,5,6
THEBEATLES.Hey Jude K.mid;3
THEBEATLES.Paperback writer K.MID;4
THEBEATLES.We can work it out K.mid;0
TheBeatles_A Hard Day's Night.mid;0
The Beatles - All You Need Is Love.mid;3,11
TheBeatles_Back in the U.S.S.R.mid;1
TheBeatles_Get Back.mid;0
TheBeatles_Strawberry Fields Forever.mid;12
TheBeatles_Ticket to Ride.mid;0,1
Ruby.mid;15
Pompeij-Bastille.mid;1,2
HowFarWeveCome.mid;3
Darude_-_Sandstorm.mid;6
